ReturnItemID,ReturnID,OrderItemID,Quantity,RefundAmount
112,75,1912,2,111.00
113,76,1927,1,402.14
114,77,1937,1,667.33
115,77,1936,1,204.47
116,78,1986,1,1220.41
117,78,1985,1,41.91
118,79,1989,1,134.07
119,80,1992,1,13.05
120,81,1995,1,104.39
121,81,1993,1,1354.96
122,82,2034,1,34.40
123,83,2055,1,80.03
124,83,2056,1,397.72
125,84,2069,1,693.87
126,85,2074,1,53.63
127,86,2126,1,546.88
128,86,2125,1,65.57
129,86,2123,1,404.31
130,87,2130,1,42.06
131,88,2140,1,35.30
132,89,2171,1,143.64
133,89,2170,1,12.79
134,90,2182,1,61.97
135,90,2185,1,1905.47
136,91,2211,1,854.06
137,92,2213,1,52.00
138,93,2285,1,20.57
139,94,2294,1,556.36
140,95,2311,1,27.08
141,95,2310,1,105.40
142,95,2314,1,31.01
143,95,2313,1,51.76
144,96,2343,1,241.41
145,96,2344,1,42.43
146,97,2353,3,347.40
147,98,2377,1,581.21
148,99,2383,1,319.38
149,99,2386,1,1905.47
150,99,2384,1,87.62
151,99,2385,1,170.92
152,100,2417,1,27.76
153,101,2419,1,65.57
154,101,2420,1,75.75
155,102,2449,1,490.10
156,103,2468,2,51.60
157,103,2467,1,70.40
158,104,2491,2,80.98
159,105,2505,2,1005.44
160,106,2508,2,150.22
161,106,2506,1,673.00
162,106,2507,1,10.01
163,107,2518,1,113.78
164,108,2545,1,99.34
165,109,2566,3,186.48
166,109,2568,1,676.12
167,109,2567,2,978.84
168,110,2578,1,73.42
169,111,2581,1,274.48
170,111,2582,1,41.91
171,111,2583,1,38.81
172,112,2603,2,171.58
173,112,2600,2,115.18
174,113,2609,1,10.01
175,114,2619,1,184.97
176,114,2618,1,191.15
177,115,2629,2,352.12
178,116,2647,1,80.08
179,116,2646,1,49.74
180,117,2673,1,80.98
181,117,2672,1,89.77
182,118,2684,1,105.26
183,119,2701,1,34.02
184,120,2705,1,34.46
185,121,2724,1,1134.04
186,122,2756,1,34.46
187,123,2818,1,42.96
188,123,2816,1,28.15
189,124,2830,1,465.17
190,125,2847,1,694.64
191,126,2857,1,642.01
192,127,2892,1,48.56
193,128,2925,1,459.44
194,128,2926,1,117.55
195,129,2939,1,11.27
196,130,2966,1,25.21
197,131,2971,1,20.82
198,131,2972,2,70.90
199,132,3011,1,319.38
200,133,3019,1,27.92
201,133,3022,1,585.55
202,134,3051,1,541.12
203,135,3054,1,610.92
204,136,3065,1,699.90
205,136,3064,1,25.80
206,136,3063,1,1030.42
207,137,3102,1,424.13
208,138,3145,1,15.76
209,138,3148,1,75.11
210,138,3144,1,255.41
211,139,3168,3,1931.61
212,140,3178,1,82.14
213,141,3182,1,80.28
214,141,3181,1,20.29
215,142,3193,1,80.03
216,143,3229,1,2378.49
217,144,3262,1,36.45
218,144,3261,1,985.33
219,145,3283,1,20.32
220,146,3285,1,2378.49
221,147,3315,1,28.15
222,148,3326,1,65.80
223,149,3339,1,252.83
224,150,3351,1,101.75
225,151,3357,1,28.82
226,152,3363,1,62.16
227,153,3449,1,34.02
228,153,3451,1,897.70
229,153,3450,1,59.29
230,154,3461,1,114.18
231,154,3460,1,870.91
232,155,3475,2,3111.52
233,156,3518,1,65.80
234,156,3517,1,184.42
235,157,3520,1,1640.96
236,158,3529,1,1290.07
237,159,3565,1,41.91
238,159,3563,2,80.00
239,160,3592,1,441.66
240,161,3601,1,50.42
241,162,3662,1,20.04
242,162,3661,1,105.61
243,163,3670,1,421.77
244,164,3731,1,120.10
245,165,3742,1,17.68
246,166,3762,1,99.34
247,167,3766,1,133.85
248,168,3803,1,33.06
249,168,3805,1,1209.50
250,169,3840,1,50.42
251,169,3841,1,264.14
252,170,3874,1,87.62
253,171,3894,1,49.46
254,172,3898,1,71.33
255,172,3899,1,86.83
256,173,3909,1,971.38
257,174,3924,1,1677.17
258,174,3923,1,30.77
259,174,3922,1,69.87
260,175,3929,1,581.21
261,175,3930,1,80.06
262,175,3928,1,20.98
263,176,3954,1,1700.69
264,176,3955,1,1590.04
265,177,3958,1,23.32
266,178,3990,1,21.50
267,179,3995,1,115.70
268,180,3998,1,457.46
269,181,4000,1,51.55
270,181,4002,1,550.08
271,182,4015,1,49.74
272,183,4019,1,154.61
273,183,4018,1,1255.27
274,184,4034,1,27.08
275,185,4038,1,157.26
276,185,4037,1,1567.00
277,186,4058,2,314.52
278,187,4063,1,101.21
279,188,4065,1,400.15
280,189,4073,1,16.87
281,190,4099,1,342.10
282,191,4103,1,11.27
283,192,4113,1,27.08
284,193,4139,1,181.59
285,194,4219,1,19.75
286,195,4282,1,44.06
287,196,4298,1,72.24
288,197,4306,1,1977.06
289,198,4313,1,561.11
290,199,4320,1,1409.39
291,200,4398,1,50.42
292,201,4400,1,97.10
293,202,4425,1,65.80
294,202,4427,1,21.29
295,203,4428,1,66.23
296,204,4436,1,667.33
297,205,4445,1,418.78
298,205,4444,1,854.06
299,206,4469,1,50.42
300,206,4470,1,37.74
301,207,4478,1,1064.18
302,207,4477,1,134.07
303,208,4490,1,60.54
304,209,4538,1,74.46
305,210,4590,1,202.88
306,211,4592,1,17.97
307,212,4660,1,80.03
308,213,4703,1,48.56
309,214,4751,1,258.98
310,215,4752,1,22.88
311,216,4771,1,404.31
312,216,4770,1,12.93
313,217,4789,1,31.00
314,218,4801,1,71.33
315,219,4830,1,76.14
316,220,4866,1,101.22
317,221,4886,1,806.75
318,222,4894,1,21.13
319,223,4903,1,1014.31
320,224,4942,1,80.03
321,224,4941,1,63.87
322,224,4940,3,1650.24
323,225,4951,1,31.00
324,226,4952,1,54.48
325,227,4966,1,76.58
326,228,4974,1,42.96
327,229,4985,1,41.51
328,230,5004,1,20.57
329,231,5026,1,76.45
330,232,5033,1,537.67
331,233,5034,1,454.64
332,234,5036,2,248.68
333,235,5063,1,62.16
334,235,5060,1,1724.47
335,235,5062,1,326.36
336,236,5068,1,891.50
337,237,5072,1,43.72
338,238,5074,2,110.68
339,239,5130,1,21.13
340,239,5129,1,83.17
341,240,5135,1,78.33
342,241,5156,1,27.37
343,242,5214,1,488.33
344,242,5215,1,52.98
345,243,5224,1,457.46
346,243,5225,1,409.24
347,244,5229,1,65.80
348,244,5230,1,55.34
349,245,5236,1,82.15
350,246,5255,1,15.22
351,246,5256,1,25.21
352,247,5271,1,1700.69
353,247,5270,1,643.87
354,247,5272,1,910.35
355,248,5287,1,208.28
356,248,5286,4,119.96
357,249,5296,1,457.46
358,249,5294,2,1520.04
359,250,5315,1,409.24
360,251,5340,1,53.90
361,252,5398,1,63.87
362,253,5406,1,35.30
363,254,5427,1,493.27
364,255,5463,1,594.03
365,256,5473,1,101.21
366,256,5472,1,39.79
367,257,5497,2,22.22
368,257,5498,1,57.59
369,258,5508,1,315.70
370,259,5545,1,25.39
371,260,5564,1,699.90
372,260,5563,1,21.43
373,260,5566,1,358.20
374,261,5598,1,27.08
375,262,5623,1,52.98
376,262,5622,1,895.21
377,263,5630,1,30.77
378,264,5664,1,28.82
379,264,5663,1,699.90
380,265,5672,1,568.54
381,265,5671,1,137.25
382,266,5682,1,66.43
383,267,5714,1,478.83
384,268,5715,2,1942.60
385,269,5780,1,137.25
386,270,5869,1,568.00
387,271,5883,1,100.00
388,272,5888,1,190.79
389,273,5907,1,49.74
390,274,5921,1,1422.82
391,274,5919,1,86.73
392,275,5948,1,21.29
393,275,5947,1,127.48
394,276,6059,1,12.93
395,277,6062,1,1566.62
396,278,6063,2,972.34
397,279,6066,1,57.59
398,280,6067,1,66.23
399,280,6068,1,44.06
400,281,6073,1,1905.47
401,282,6097,1,92.19
402,283,6129,1,72.24
403,284,6150,1,71.35
404,285,6151,1,10.59
405,286,6152,1,38.81
406,286,6153,1,73.42
407,287,6156,1,323.99
408,288,6172,2,412.92
409,289,6191,1,15.69
410,290,6203,1,581.21
411,291,6218,1,1422.82
412,292,6242,1,10.52
413,293,6247,1,553.55
414,294,6259,1,83.17
415,295,6335,1,423.85
416,295,6334,1,105.02
417,296,6348,2,138.14
418,297,6382,1,21.13
419,298,6416,1,34.02
420,299,6436,1,202.88
421,300,6438,1,80.51
422,301,6467,1,1724.47
423,302,6473,1,115.70
424,303,6474,3,5188.77
425,304,6478,1,67.14
426,305,6483,1,41.91
427,305,6484,1,2179.37
428,306,6489,1,10.56
429,306,6490,1,319.38
430,307,6508,1,25.21
431,307,6507,1,635.62
432,308,6536,1,1026.34
433,308,6535,2,108.96
434,308,6534,1,2378.49
435,309,6538,1,77.26
436,309,6540,1,29.99
437,310,6618,1,57.07
438,311,6622,1,23.32
439,311,6620,1,809.25
440,312,6636,1,404.13
441,313,6658,1,1590.04
442,314,6666,1,84.60
443,315,6695,1,27.37
444,315,6696,1,83.08
445,316,6743,1,1472.28
446,316,6742,1,29.52
447,317,6750,1,50.42
448,318,6788,2,203.50
449,318,6786,1,149.94
450,318,6785,1,41.07
451,319,6790,1,55.34
452,319,6791,1,184.97
453,320,6858,1,80.98
454,320,6857,1,82.15
455,321,6889,1,25.21
456,321,6890,1,459.44
457,322,6914,1,643.87
458,322,6915,1,33.15
459,323,6929,1,101.22
460,324,6968,1,585.55
461,325,6976,1,60.54
462,326,7010,1,611.82
463,327,7022,1,957.19
464,328,7040,2,121.08
465,329,7087,1,22.88
466,329,7088,1,35.30
467,330,7135,1,28.15
468,331,7172,1,45.89
469,332,7195,1,322.36
470,332,7194,1,34.46
471,333,7218,1,51.55
472,334,7225,1,182.55
473,335,7228,1,21.13
474,336,7261,1,879.16
475,336,7263,1,315.70
476,337,7300,1,50.42
477,338,7322,2,1043.28
478,339,7328,1,1532.05
479,340,7332,1,13.80
480,341,7342,1,170.92
481,342,7415,2,115.28
482,343,7417,2,43.50
483,344,7459,1,441.66
484,344,7460,2,116.16
485,345,7488,1,84.60
486,346,7534,1,57.11
487,346,7535,1,1640.96
488,347,7538,1,128.29
489,348,7571,1,101.21
490,349,7630,1,19.75
491,350,7633,1,42.32
492,350,7635,1,1279.94
493,351,7637,1,27.37
494,352,7654,1,36.20
495,353,7656,1,25.39
496,353,7655,1,53.90
497,354,7689,1,10.92
498,354,7690,1,25.01
499,355,7731,1,19.75
500,356,7737,1,554.54
501,357,7755,1,34.46
502,358,7758,1,33.74
503,358,7756,1,585.55
504,359,7779,1,93.92
505,359,7777,1,175.43
506,360,7805,1,51.55
507,360,7807,1,459.79
508,360,7806,1,860.15
509,361,7819,2,255.06
510,362,7837,2,2017.66
511,363,7843,1,1209.50
512,363,7842,1,1567.00
513,364,7871,1,16.82
514,364,7869,1,27.51
515,364,7870,1,697.89
516,365,7881,1,20.82
517,366,7889,2,240.20
518,366,7888,1,18.32
519,367,7902,1,547.00
520,367,7899,1,21.29
521,368,7907,1,78.33
522,369,7917,1,22.09
523,369,7918,1,39.08
524,370,7925,1,42.96
525,371,7933,1,743.75
526,372,7949,1,65.80
527,373,7951,1,30.84
528,373,7952,1,80.03
529,374,7955,1,124.34
530,375,7985,1,208.28
531,376,7996,1,60.62
532,377,8006,3,240.48
533,378,8017,1,29.99
534,379,8020,1,15.97
535,380,8028,1,1167.90
536,380,8029,1,30.77
537,381,8046,1,579.05
538,382,8066,1,62.16
539,383,8155,1,118.32
540,383,8157,1,20.98
541,384,8167,1,34.50
542,384,8168,1,126.79
543,385,8219,1,35.45
544,385,8216,1,82.15
545,385,8218,2,1482.26
546,386,8236,1,212.25
547,387,8245,1,31.46
548,388,8275,2,70.60
549,389,8278,3,61.71
550,390,8284,1,854.06
551,390,8283,1,51.55
552,391,8288,1,154.61
553,391,8287,1,25.21
554,392,8319,1,854.06
555,393,8324,1,2378.57
556,394,8367,1,149.94
557,395,8376,2,231.40
558,395,8375,1,270.72
559,396,8380,1,74.46
560,397,8396,1,29.52
561,398,8410,1,51.55
562,399,8438,1,50.42
563,400,8450,1,568.54
564,401,8451,1,67.59
565,401,8453,1,19.75
566,401,8455,1,1290.07
567,402,8469,1,27.76
568,403,8477,1,22.36
569,404,8486,1,34.02
570,405,8503,1,120.10
571,406,8520,1,20.32
572,407,8527,1,110.63
573,408,8559,1,10.31
574,408,8557,1,1785.01
575,409,8568,1,52.00
576,410,8570,1,667.33
577,411,8584,1,114.18
578,412,8657,1,699.90
579,413,8667,1,48.56
580,414,8679,1,72.24
581,414,8678,1,11.22
582,415,8753,1,71.76
583,415,8755,1,911.75
584,416,8756,1,2194.34
585,417,8776,1,404.13
586,417,8775,1,21.29
587,418,8808,2,4358.74
588,418,8809,1,1267.63
589,419,8822,1,400.03
590,420,8826,2,150.22
591,421,8883,1,627.65
592,422,8891,1,25.80
593,423,8929,3,291.30
594,424,8981,1,31.32
595,425,8984,2,26.68
596,426,9017,1,101.75
597,427,9022,1,560.07
598,428,9054,1,42.32
599,429,9075,1,20.57
600,429,9074,1,208.46
601,430,9112,1,15.62
602,431,9141,2,341.84
603,431,9142,1,1354.96
604,431,9140,1,741.13
605,432,9146,1,714.22
606,432,9144,1,17.31
607,432,9145,1,56.76
608,433,9154,1,61.97
609,434,9187,1,959.96
610,435,9222,1,804.18
611,436,9226,1,51.63
612,437,9256,1,30.77
613,438,9265,4,120.00
614,438,9267,1,103.38
615,438,9266,1,411.64
616,439,9273,1,72.24
617,439,9274,1,1590.04
618,439,9275,1,27.52
619,440,9314,1,598.02
620,440,9313,1,673.00
621,440,9312,1,15.22
622,441,9328,1,35.30
623,442,9346,1,88.72
624,443,9382,1,62.16
625,443,9381,1,10.59
626,444,9383,1,28.15
627,444,9385,1,27.08
628,444,9384,1,42.43
629,445,9398,1,17.31
630,445,9397,1,400.10
631,446,9404,2,30.70
632,447,9413,1,1069.81
633,448,9439,1,69.12
634,449,9449,1,402.77
635,450,9452,1,20.57
636,451,9531,1,400.65
637,452,9566,1,65.80
638,453,9577,1,18.09
639,453,9578,1,95.62
640,454,9617,1,984.60
641,455,9618,1,36.20
642,456,9633,1,63.87
643,457,9651,1,1187.18
644,457,9650,1,1847.46
645,458,9693,1,20.57
646,459,9695,1,80.98
647,460,9719,2,541.44
648,461,9738,1,1640.96
649,461,9739,1,20.20
650,462,9751,1,184.97
651,463,9781,1,87.62
652,464,9798,1,103.38
653,464,9801,1,27.01
654,465,9827,1,475.71
655,466,9847,1,1134.04
656,467,9863,1,1629.64
657,468,9891,1,18.96
658,468,9892,1,149.94
659,469,9893,1,71.33
660,470,9968,1,93.92
661,470,9970,1,16.82
662,471,9980,1,51.55
663,471,9981,1,300.00
664,471,9982,1,23.74
665,472,10008,1,157.26
666,472,10006,1,147.87
667,473,10057,1,124.34
668,474,10069,1,71.33
669,475,10130,1,46.74
670,476,10136,1,115.70
671,476,10135,1,11.29
672,476,10134,1,95.62
673,477,10163,1,27.08
674,478,10257,2,179.54
675,478,10258,1,457.46
676,479,10259,1,20.20
677,480,10270,1,1772.19
678,481,10285,1,10.59
679,482,10320,1,784.59
680,483,10323,1,2131.55
681,483,10324,1,80.51
682,483,10321,1,327.59
683,483,10322,1,27.85
684,484,10336,1,130.56
685,484,10337,1,137.54
686,485,10359,1,32.32
687,486,10369,1,465.17
688,487,10371,1,2171.73
689,488,10378,1,24.32
690,489,10397,1,212.25
691,490,10410,1,17.91
692,490,10412,1,90.28
693,491,10423,2,91.90
694,492,10454,1,664.09
695,493,10463,1,2131.55
696,494,10480,1,83.17
697,494,10482,1,457.46
698,494,10481,1,29.99
699,494,10483,1,101.22
700,495,10491,2,2910.84
701,496,10497,1,80.06
702,496,10498,1,122.06
703,496,10496,1,457.46
704,497,10522,1,300.00
705,498,10523,1,184.42
706,499,10536,1,56.76
707,499,10537,1,75.11
708,500,10540,1,145.38
709,501,10567,1,48.22
710,501,10565,1,24.33
711,502,10606,1,51.76
712,503,10614,1,17.78
713,504,10655,1,2378.49
714,505,10661,2,152.90
715,506,10667,1,10.59
716,507,10694,2,2008.80
717,508,10739,1,55.66
718,509,10742,1,466.38
719,510,10746,1,80.08
720,511,10750,1,75.11
721,511,10749,1,59.66
722,512,10773,1,20.98
723,513,10780,1,391.76
724,514,10803,1,12.79
725,515,10807,1,10.52
726,516,10823,1,57.07
727,517,10826,1,1064.18
728,518,10829,1,250.10
729,518,10828,1,16.82
730,519,10838,2,42.26
731,520,10854,1,71.76
732,521,10857,1,52.98
733,522,10903,1,117.12
734,523,10907,1,39.50
735,524,10908,3,86.46
736,524,10909,1,917.86
737,525,10917,2,68.80
738,525,10916,3,325.11
739,525,10918,1,99.34
740,526,10951,1,1596.53
741,526,10955,1,20.20
742,526,10953,1,62.16
743,527,11011,1,114.99
744,528,11047,1,23.32
745,528,11045,1,1050.61
746,528,11046,1,1081.98
747,529,11094,1,10.08
748,530,11125,1,25.23
749,531,11140,1,908.50
750,532,11153,1,244.62
751,533,11154,1,924.24
752,534,11167,1,34.02
753,535,11196,1,418.78
754,536,11214,1,667.33
755,537,11219,1,10.00
756,537,11220,1,1036.13
757,538,11230,2,160.12
758,539,11233,1,943.90
759,540,11243,2,2526.22
760,540,11241,1,649.82
761,541,11266,1,71.76
762,542,11293,1,57.28
763,542,11294,1,561.11
764,543,11297,1,1131.54
765,543,11298,1,10.52
766,543,11296,1,56.76
767,543,11299,1,286.56
768,544,11308,1,25.39
769,545,11311,1,21.43
770,546,11314,1,89.87
771,546,11315,1,400.65
772,547,11337,1,416.31
773,547,11338,1,105.40
774,548,11363,2,41.14
775,549,11376,1,611.82
776,550,11393,1,241.41
777,550,11394,1,67.22
778,551,11432,1,897.70
779,552,11433,1,2041.88
780,553,11459,1,51.55
781,554,11476,1,66.23
782,554,11477,1,806.75
783,555,11493,1,642.92
784,556,11497,1,474.06
785,556,11498,1,547.00
786,556,11496,1,984.60
787,557,11529,3,94.38
788,558,11543,1,57.64
789,558,11544,2,4756.98
790,559,11565,1,380.76
791,560,11578,1,30.77
792,561,11609,1,24.32
793,562,11617,1,10.01
794,563,11699,1,408.38
795,564,11708,1,25.23
796,564,11709,1,65.80
797,565,11742,1,791.09
798,565,11743,1,202.88
799,565,11741,1,57.28
800,566,11796,1,33.85
801,567,11804,1,664.09
802,567,11805,1,122.22
803,568,11815,1,11.11
804,569,11828,1,106.80
805,570,11841,1,46.60
806,570,11840,2,171.70
807,571,11845,1,206.57
808,571,11848,1,1497.07
809,571,11846,1,41.91
810,572,11868,1,1036.13
811,573,11899,2,85.92
812,574,11909,1,57.64
813,575,11913,1,41.51
814,575,11912,1,10.59
815,575,11916,1,454.64
816,576,11949,1,67.14
817,577,11958,1,369.63
818,577,11959,1,400.10
819,578,11980,1,827.48
820,579,11985,1,20.98
821,579,11983,1,293.93
822,580,12071,2,33.64
823,580,12068,1,860.15
824,581,12093,1,97.10
825,582,12097,2,229.98
826,583,12136,1,85.33
827,584,12208,1,44.76
828,585,12211,1,80.06
829,585,12212,1,296.23
830,586,12221,2,118.58
831,586,12220,1,948.64
832,587,12224,1,35.30
833,588,12237,1,69.87
834,589,12240,1,29.52
835,590,12241,1,22.38
836,591,12274,1,1551.31
837,592,12285,1,110.60
838,593,12304,1,80.06
839,594,12319,1,34.40
840,594,12315,2,164.30
841,594,12317,1,1490.92
842,594,12316,1,22.09
843,595,12323,1,30.77
844,595,12324,1,118.27
845,596,12372,1,20.32
846,597,12373,1,87.62
847,598,12374,1,404.36
848,599,12390,1,459.44
849,600,12400,1,23.09
850,601,12433,1,55.50
851,602,12435,1,20.98
852,603,12474,1,914.81
853,604,12518,1,21.15
854,605,12559,1,51.68
855,605,12558,1,877.63
856,606,12587,1,1047.38
857,607,12613,1,25.21
858,608,12646,1,129.43
859,609,12649,1,613.18
860,610,12662,1,27.76
861,611,12663,1,82.15
862,612,12669,2,113.52
863,613,12680,1,28.29
864,613,12679,1,72.24
865,614,12686,1,134.37
866,614,12685,1,673.00
867,615,12691,1,65.80
868,615,12692,1,75.11
869,616,12714,1,46.60
870,617,12732,1,43.72
871,617,12733,1,103.38
872,618,12735,2,50.46
873,619,12748,1,56.83
874,620,12753,1,45.95
875,621,12769,1,17.78
876,622,12785,1,15.41
877,622,12783,1,1008.83
878,623,12795,1,23.91
879,624,12831,2,178.58
880,625,12838,1,120.10
881,626,12880,1,81.09
882,627,12921,1,80.03
883,627,12920,1,43.72
884,628,12952,1,93.15
885,628,12953,1,206.57
886,628,12951,1,610.92
887,629,12997,1,1358.95
888,630,13013,1,1247.74
889,630,13011,1,400.65
890,630,13012,1,50.19
891,631,13018,1,137.25
892,632,13022,1,44.56
893,633,13053,2,175.24
894,634,13058,1,113.78
895,635,13090,2,80.00
896,636,13100,1,20.57
897,637,13113,1,33.06
898,638,13147,1,55.50
899,639,13170,1,29.52
900,639,13173,1,87.62
901,639,13171,1,56.66
902,640,13249,1,480.83
903,640,13250,1,501.81
904,641,13256,1,31.46
905,642,13265,1,56.18
906,643,13286,1,2378.49
907,644,13344,1,22.38
908,645,13374,1,65.80
909,646,13399,1,860.15
910,647,13409,1,53.63
911,648,13411,1,76.45
912,649,13415,1,10.01
913,649,13413,2,62.64
914,650,13424,1,55.50
915,650,13423,1,1551.31
916,651,13431,1,66.23
917,652,13456,1,28.15
918,652,13457,1,1472.28
919,653,13494,1,66.43
920,654,13508,1,39.08
921,654,13504,1,48.56
922,655,13565,1,74.46
923,655,13564,1,10.56
924,656,13607,3,103.20
925,657,13620,1,22.88
926,658,13621,1,893.87
927,659,13623,3,1439.61
928,660,13689,2,60.00
929,660,13688,2,416.56
930,661,13724,1,860.15
931,662,13725,1,891.50
932,663,13780,1,28.82
933,663,13779,2,664.54
934,664,13797,1,80.06
935,665,13800,3,2744.43
936,666,13814,1,44.56
937,666,13815,2,152.90
938,667,13834,1,914.81
939,668,13841,1,10.52
940,669,13855,1,89.21
941,670,13870,1,214.09
942,671,13873,1,31.23
943,672,13902,1,44.56
944,672,13901,1,102.86
945,673,13912,1,82.15
946,674,13915,1,51.55
947,674,13916,1,1677.17
948,674,13914,1,27.08
949,675,13920,2,1919.48
950,676,13925,1,10.65
951,677,13930,1,29.99
952,678,13936,3,47.91
953,679,13941,1,97.10
954,680,13944,1,28.15
955,680,13943,1,71.33
956,681,14019,1,25.23
957,681,14020,1,30.83
958,681,14021,1,182.55
959,682,14028,1,957.19
960,682,14029,1,1409.39
961,683,14039,1,28.82
962,683,14037,1,134.37
963,684,14042,1,21.13
964,685,14079,1,20.98
965,686,14114,1,34.46
966,686,14115,1,230.82
967,687,14131,1,16.82
968,688,14139,1,43.09
969,689,14152,1,57.64
970,690,14174,1,342.10
971,691,14205,1,2194.34
972,692,14212,1,17.68
973,693,14216,2,2468.56
974,693,14219,1,114.78
975,694,14263,1,1555.76
976,695,14268,1,44.56
977,695,14269,3,992.16
978,695,14270,1,15.22
979,696,14283,1,911.71
980,696,14284,1,35.45
981,697,14285,3,84.45
982,698,14312,1,74.29
983,699,14374,1,501.81
984,700,14384,1,404.32
985,701,14385,1,632.90
986,702,14403,1,38.69
987,702,14400,1,17.04
988,703,14462,1,10.52
989,704,14482,1,274.48
990,704,14481,1,84.60
991,705,14507,2,1101.82
992,706,14508,1,457.46
993,706,14512,1,38.51
994,707,14519,1,42.32
995,708,14537,1,84.35
996,709,14543,1,58.08
997,710,14554,1,33.06
998,711,14579,1,55.34
999,712,14591,1,27.37
1000,712,14590,1,42.32
1001,713,14598,1,568.00
1002,714,14616,1,10.52
1003,715,14632,1,201.85
1004,716,14639,1,813.83
1005,717,14684,1,20.29
1006,717,14683,1,2378.49
1007,718,14696,1,2300.19
1008,718,14695,3,186.57
1009,719,14725,1,52.98
1010,720,14749,1,87.62
1011,721,14756,2,408.94
1012,722,14770,1,891.50
1013,723,14788,1,461.15
1014,724,14790,1,23.32
1015,724,14789,1,25.23
1016,725,14799,1,55.34
1017,725,14798,1,39.08
1018,726,14805,1,10.00
1019,726,14806,1,852.47
1020,727,14830,1,327.85
1021,728,14860,1,1532.05
1022,729,14865,1,15.97
1023,730,14890,1,12.79
1024,731,14923,1,44.06
1025,731,14926,1,78.33
1026,731,14924,1,115.80
1027,732,14928,1,942.08
1028,733,14957,1,521.64
1029,733,14956,1,77.43
1030,733,14955,1,53.63
1031,734,14976,1,1234.28
1032,734,14975,2,151.50
1033,735,15005,1,342.10
1034,736,15045,1,13.34
1035,737,15083,2,382.30
1036,738,15130,1,911.71
1037,738,15129,1,191.15
1038,739,15171,1,33.74
1039,739,15172,1,80.03
1040,740,15210,1,76.58
1041,741,15221,1,99.34
1042,742,15225,1,115.59
1043,743,15249,1,16.82
1044,743,15246,1,65.57
1045,744,15256,1,303.02
1046,745,15295,1,639.60
1047,746,15375,1,550.27
1048,747,15378,1,80.51
1049,748,15392,1,1977.06
1050,748,15393,1,16.82
1051,749,15415,2,142.66
1052,750,15419,1,35.30
1053,751,15429,1,118.50
1054,752,15495,1,101.08
1055,753,15496,2,198.68
1056,753,15497,1,117.55
1057,754,15522,1,1422.82
1058,754,15521,1,76.58
1059,755,15526,1,67.59
1060,755,15525,2,115.18
1061,756,15547,1,85.25
