ProductID,Category,BaseKey,BaseName,VariantDim1Name,VariantDim1Value,VariantDim2Name,VariantDim2Value
122,TECH,TECH_BASE_000024,4K Television 0024,TVSize,50-inch,Color,Black
123,TECH,TECH_BASE_000024,4K Television 0024,TVSize,55-inch,Color,Black
124,TECH,TECH_BASE_000024,4K Television 0024,TVSize,65-inch,Color,Black
125,TECH,TECH_BASE_000024,4K Television 0024,TVSize,43-inch,Color,Black
126,TECH,TECH_BASE_000025,Smartwatch 0025,Color,White,Band,Silicone
127,TECH,TECH_BASE_000025,Smartwatch 0025,Color,Blue,Band,Silicone
128,TECH,TECH_BASE_000026,4K Television 0026,TVSize,50-inch,Color,Black
129,TECH,TECH_BASE_000026,4K Television 0026,TVSize,50-inch,Color,Silver
130,TECH,TECH_BASE_000026,4K Television 0026,TVSize,55-inch,Color,Black
131,TECH,TECH_BASE_000026,4K Television 0026,TVSize,55-inch,Color,Silver
132,TECH,TECH_BASE_000026,4K Television 0026,TVSize,65-inch,Color,Black
133,TECH,TECH_BASE_000026,4K Television 0026,TVSize,65-inch,Color,Silver
134,TECH,TECH_BASE_000026,4K Television 0026,TVSize,43-inch,Color,Black
135,TECH,TECH_BASE_000026,4K Television 0026,TVSize,43-inch,Color,Silver
136,TECH,TECH_BASE_000027,4K Television 0027,TVSize,43-inch,Color,Black
137,TECH,TECH_BASE_000027,4K Television 0027,TVSize,50-inch,Color,Black
138,TECH,TECH_BASE_000027,4K Television 0027,TVSize,55-inch,Color,Black
139,TECH,TECH_BASE_000027,4K Television 0027,TVSize,65-inch,Color,Black
140,TECH,TECH_BASE_000028,4K Television 0028,TVSize,50-inch,Color,Black
141,TECH,TECH_BASE_000028,4K Television 0028,TVSize,50-inch,Color,Silver
142,TECH,TECH_BASE_000028,4K Television 0028,TVSize,65-inch,Color,Black
143,TECH,TECH_BASE_000028,4K Television 0028,TVSize,65-inch,Color,Silver
144,TECH,TECH_BASE_000028,4K Television 0028,TVSize,55-inch,Color,Black
145,TECH,TECH_BASE_000028,4K Television 0028,TVSize,55-inch,Color,Silver
146,TECH,TECH_BASE_000028,4K Television 0028,TVSize,43-inch,Color,Black
147,TECH,TECH_BASE_000028,4K Television 0028,TVSize,43-inch,Color,Silver
148,TECH,TECH_BASE_000029,Smartwatch 0029,Color,Space Gray,Band,Leather
149,TECH,TECH_BASE_000029,Smartwatch 0029,Color,Space Gray,Band,Silicone
150,TECH,TECH_BASE_000029,Smartwatch 0029,Color,Blue,Band,Leather
151,TECH,TECH_BASE_000029,Smartwatch 0029,Color,Blue,Band,Silicone
152,TECH,TECH_BASE_000030,Smartphone 0030,Color,White,Storage,512GB
153,TECH,TECH_BASE_000030,Smartphone 0030,Color,Blue,Storage,512GB
154,TECH,TECH_BASE_000030,Smartphone 0030,Color,Silver,Storage,512GB
155,TECH,TECH_BASE_000031,Smartphone 0031,Color,Red,Storage,64GB
156,TECH,TECH_BASE_000031,Smartphone 0031,Color,Red,Storage,512GB
157,TECH,TECH_BASE_000031,Smartphone 0031,Color,Red,Storage,128GB
158,TECH,TECH_BASE_000031,Smartphone 0031,Color,Space Gray,Storage,64GB
159,TECH,TECH_BASE_000031,Smartphone 0031,Color,Space Gray,Storage,512GB
160,TECH,TECH_BASE_000031,Smartphone 0031,Color,Space Gray,Storage,128GB
161,TECH,TECH_BASE_000031,Smartphone 0031,Color,White,Storage,64GB
162,TECH,TECH_BASE_000031,Smartphone 0031,Color,White,Storage,512GB
163,TECH,TECH_BASE_000031,Smartphone 0031,Color,White,Storage,128GB
164,TECH,TECH_BASE_000032,4K Television 0032,TVSize,65-inch,Color,Silver
165,TECH,TECH_BASE_000032,4K Television 0032,TVSize,55-inch,Color,Silver
166,TECH,TECH_BASE_000032,4K Television 0032,TVSize,50-inch,Color,Silver
167,TECH,TECH_BASE_000032,4K Television 0032,TVSize,43-inch,Color,Silver
168,TECH,TECH_BASE_000033,Wireless Headphones 0033,Color,Black,Connectivity,Bluetooth
169,TECH,TECH_BASE_000033,Wireless Headphones 0033,Color,Black,Connectivity,Bluetooth+Wired
170,TECH,TECH_BASE_000033,Wireless Headphones 0033,Color,Silver,Connectivity,Bluetooth
171,TECH,TECH_BASE_000033,Wireless Headphones 0033,Color,Silver,Connectivity,Bluetooth+Wired
172,TECH,TECH_BASE_000033,Wireless Headphones 0033,Color,Space Gray,Connectivity,Bluetooth
173,TECH,TECH_BASE_000033,Wireless Headphones 0033,Color,Space Gray,Connectivity,Bluetooth+Wired
174,TECH,TECH_BASE_000033,Wireless Headphones 0033,Color,White,Connectivity,Bluetooth
175,TECH,TECH_BASE_000033,Wireless Headphones 0033,Color,White,Connectivity,Bluetooth+Wired
176,TECH,TECH_BASE_000034,Smartphone 0034,Color,Space Gray,Storage,128GB
177,TECH,TECH_BASE_000034,Smartphone 0034,Color,Space Gray,Storage,512GB
178,TECH,TECH_BASE_000034,Smartphone 0034,Color,Silver,Storage,128GB
179,TECH,TECH_BASE_000034,Smartphone 0034,Color,Silver,Storage,512GB
180,TECH,TECH_BASE_000034,Smartphone 0034,Color,Black,Storage,128GB
181,TECH,TECH_BASE_000034,Smartphone 0034,Color,Black,Storage,512GB
182,TECH,TECH_BASE_000034,Smartphone 0034,Color,Blue,Storage,128GB
183,TECH,TECH_BASE_000034,Smartphone 0034,Color,Blue,Storage,512GB
184,TECH,TECH_BASE_000035,Wireless Headphones 0035,Color,Red,Connectivity,Bluetooth
185,TECH,TECH_BASE_000035,Wireless Headphones 0035,Color,White,Connectivity,Bluetooth
186,TECH,TECH_BASE_000036,Smartwatch 0036,Color,Space Gray,Band,Silicone
187,TECH,TECH_BASE_000036,Smartwatch 0036,Color,Space Gray,Band,Leather
188,TECH,TECH_BASE_000036,Smartwatch 0036,Color,Red,Band,Silicone
189,TECH,TECH_BASE_000036,Smartwatch 0036,Color,Red,Band,Leather
190,TECH,TECH_BASE_000036,Smartwatch 0036,Color,White,Band,Silicone
191,TECH,TECH_BASE_000036,Smartwatch 0036,Color,White,Band,Leather
192,TECH,TECH_BASE_000036,Smartwatch 0036,Color,Blue,Band,Silicone
193,TECH,TECH_BASE_000036,Smartwatch 0036,Color,Blue,Band,Leather
194,TECH,TECH_BASE_000037,Wireless Headphones 0037,Color,Blue,Connectivity,Bluetooth
195,TECH,TECH_BASE_000037,Wireless Headphones 0037,Color,Space Gray,Connectivity,Bluetooth
196,TECH,TECH_BASE_000037,Wireless Headphones 0037,Color,Red,Connectivity,Bluetooth
197,TECH,TECH_BASE_000037,Wireless Headphones 0037,Color,Black,Connectivity,Bluetooth
198,TECH,TECH_BASE_000038,Wireless Headphones 0038,Color,White,Connectivity,Bluetooth+Wired
199,TECH,TECH_BASE_000038,Wireless Headphones 0038,Color,Silver,Connectivity,Bluetooth+Wired
200,TECH,TECH_BASE_000038,Wireless Headphones 0038,Color,Space Gray,Connectivity,Bluetooth+Wired
201,TECH,TECH_BASE_000039,Smartphone 0039,Color,Blue,Storage,256GB
202,TECH,TECH_BASE_000039,Smartphone 0039,Color,Blue,Storage,64GB
203,TECH,TECH_BASE_000039,Smartphone 0039,Color,Silver,Storage,256GB
204,TECH,TECH_BASE_000039,Smartphone 0039,Color,Silver,Storage,64GB
205,TECH,TECH_BASE_000039,Smartphone 0039,Color,Space Gray,Storage,256GB
206,TECH,TECH_BASE_000039,Smartphone 0039,Color,Space Gray,Storage,64GB
207,TECH,TECH_BASE_000039,Smartphone 0039,Color,Black,Storage,256GB
208,TECH,TECH_BASE_000039,Smartphone 0039,Color,Black,Storage,64GB
209,TECH,TECH_BASE_000040,Smartphone 0040,Color,Red,Storage,256GB
210,TECH,TECH_BASE_000040,Smartphone 0040,Color,Red,Storage,512GB
211,TECH,TECH_BASE_000040,Smartphone 0040,Color,Red,Storage,64GB
212,TECH,TECH_BASE_000040,Smartphone 0040,Color,Silver,Storage,256GB
213,TECH,TECH_BASE_000040,Smartphone 0040,Color,Silver,Storage,512GB
214,TECH,TECH_BASE_000040,Smartphone 0040,Color,Silver,Storage,64GB
215,TECH,TECH_BASE_000040,Smartphone 0040,Color,White,Storage,256GB
216,TECH,TECH_BASE_000040,Smartphone 0040,Color,White,Storage,512GB
217,TECH,TECH_BASE_000040,Smartphone 0040,Color,White,Storage,64GB
218,TECH,TECH_BASE_000040,Smartphone 0040,Color,Blue,Storage,256GB
219,TECH,TECH_BASE_000040,Smartphone 0040,Color,Blue,Storage,512GB
220,TECH,TECH_BASE_000040,Smartphone 0040,Color,Blue,Storage,64GB
221,TECH,TECH_BASE_000041,Smartwatch 0041,Color,Blue,Band,Leather
222,TECH,TECH_BASE_000041,Smartwatch 0041,Color,Space Gray,Band,Leather
223,TECH,TECH_BASE_000041,Smartwatch 0041,Color,Red,Band,Leather
224,TECH,TECH_BASE_000041,Smartwatch 0041,Color,Silver,Band,Leather
225,TECH,TECH_BASE_000042,Laptop 0042,ScreenSize,13-inch,Color,Silver
226,TECH,TECH_BASE_000042,Laptop 0042,ScreenSize,13-inch,Color,Space Gray
227,TECH,TECH_BASE_000042,Laptop 0042,ScreenSize,13-inch,Color,Black
228,TECH,TECH_BASE_000042,Laptop 0042,ScreenSize,14-inch,Color,Silver
229,TECH,TECH_BASE_000042,Laptop 0042,ScreenSize,14-inch,Color,Space Gray
230,TECH,TECH_BASE_000042,Laptop 0042,ScreenSize,14-inch,Color,Black
231,TECH,TECH_BASE_000042,Laptop 0042,ScreenSize,16-inch,Color,Silver
232,TECH,TECH_BASE_000042,Laptop 0042,ScreenSize,16-inch,Color,Space Gray
233,TECH,TECH_BASE_000042,Laptop 0042,ScreenSize,16-inch,Color,Black
234,TECH,TECH_BASE_000042,Laptop 0042,ScreenSize,15-inch,Color,Silver
235,TECH,TECH_BASE_000042,Laptop 0042,ScreenSize,15-inch,Color,Space Gray
236,TECH,TECH_BASE_000042,Laptop 0042,ScreenSize,15-inch,Color,Black
237,TECH,TECH_BASE_000043,Laptop 0043,ScreenSize,16-inch,Color,Space Gray
238,TECH,TECH_BASE_000043,Laptop 0043,ScreenSize,16-inch,Color,Silver
239,TECH,TECH_BASE_000043,Laptop 0043,ScreenSize,14-inch,Color,Space Gray
240,TECH,TECH_BASE_000043,Laptop 0043,ScreenSize,14-inch,Color,Silver
241,TECH,TECH_BASE_000043,Laptop 0043,ScreenSize,15-inch,Color,Space Gray
242,TECH,TECH_BASE_000043,Laptop 0043,ScreenSize,15-inch,Color,Silver
243,TECH,TECH_BASE_000043,Laptop 0043,ScreenSize,13-inch,Color,Space Gray
244,TECH,TECH_BASE_000043,Laptop 0043,ScreenSize,13-inch,Color,Silver
245,TECH,TECH_BASE_000044,Laptop 0044,ScreenSize,16-inch,Color,Black
246,TECH,TECH_BASE_000044,Laptop 0044,ScreenSize,16-inch,Color,Space Gray
247,TECH,TECH_BASE_000044,Laptop 0044,ScreenSize,13-inch,Color,Black
248,TECH,TECH_BASE_000044,Laptop 0044,ScreenSize,13-inch,Color,Space Gray
249,TECH,TECH_BASE_000044,Laptop 0044,ScreenSize,15-inch,Color,Black
250,TECH,TECH_BASE_000044,Laptop 0044,ScreenSize,15-inch,Color,Space Gray
251,TECH,TECH_BASE_000044,Laptop 0044,ScreenSize,14-inch,Color,Black
252,TECH,TECH_BASE_000044,Laptop 0044,ScreenSize,14-inch,Color,Space Gray
253,TECH,TECH_BASE_000045,Smartphone 0045,Color,White,Storage,512GB
254,TECH,TECH_BASE_000045,Smartphone 0045,Color,White,Storage,256GB
255,TECH,TECH_BASE_000045,Smartphone 0045,Color,Space Gray,Storage,512GB
256,TECH,TECH_BASE_000045,Smartphone 0045,Color,Space Gray,Storage,256GB
257,TECH,TECH_BASE_000046,Laptop 0046,ScreenSize,14-inch,Color,Silver
258,TECH,TECH_BASE_000046,Laptop 0046,ScreenSize,13-inch,Color,Silver
259,TECH,TECH_BASE_000047,Smartphone 0047,Color,Silver,Storage,512GB
260,TECH,TECH_BASE_000047,Smartphone 0047,Color,Silver,Storage,256GB
261,TECH,TECH_BASE_000047,Smartphone 0047,Color,Black,Storage,512GB
262,TECH,TECH_BASE_000047,Smartphone 0047,Color,Black,Storage,256GB
263,TECH,TECH_BASE_000047,Smartphone 0047,Color,Space Gray,Storage,512GB
264,TECH,TECH_BASE_000047,Smartphone 0047,Color,Space Gray,Storage,256GB
265,TECH,TECH_BASE_000048,Smartwatch 0048,Color,Blue,Band,Silicone
266,TECH,TECH_BASE_000048,Smartwatch 0048,Color,Blue,Band,Leather
267,TECH,TECH_BASE_000048,Smartwatch 0048,Color,Black,Band,Silicone
268,TECH,TECH_BASE_000048,Smartwatch 0048,Color,Black,Band,Leather
269,TECH,TECH_BASE_000049,Smartwatch 0049,Color,Red,Band,Leather
270,TECH,TECH_BASE_000049,Smartwatch 0049,Color,Blue,Band,Leather
271,TECH,TECH_BASE_000049,Smartwatch 0049,Color,Black,Band,Leather
272,TECH,TECH_BASE_000050,Wireless Headphones 0050,Color,Black,Connectivity,Bluetooth
273,TECH,TECH_BASE_000050,Wireless Headphones 0050,Color,Black,Connectivity,Bluetooth+Wired
274,TECH,TECH_BASE_000050,Wireless Headphones 0050,Color,Space Gray,Connectivity,Bluetooth
275,TECH,TECH_BASE_000050,Wireless Headphones 0050,Color,Space Gray,Connectivity,Bluetooth+Wired
276,TECH,TECH_BASE_000051,Smartwatch 0051,Color,Red,Band,Silicone
277,TECH,TECH_BASE_000051,Smartwatch 0051,Color,Red,Band,Leather
278,TECH,TECH_BASE_000051,Smartwatch 0051,Color,Black,Band,Silicone
279,TECH,TECH_BASE_000051,Smartwatch 0051,Color,Black,Band,Leather
280,TECH,TECH_BASE_000051,Smartwatch 0051,Color,Silver,Band,Silicone
281,TECH,TECH_BASE_000051,Smartwatch 0051,Color,Silver,Band,Leather
282,TECH,TECH_BASE_000051,Smartwatch 0051,Color,White,Band,Silicone
283,TECH,TECH_BASE_000051,Smartwatch 0051,Color,White,Band,Leather
284,TECH,TECH_BASE_000052,Laptop 0052,ScreenSize,15-inch,Color,Silver
285,TECH,TECH_BASE_000052,Laptop 0052,ScreenSize,15-inch,Color,Black
286,TECH,TECH_BASE_000052,Laptop 0052,ScreenSize,14-inch,Color,Silver
287,TECH,TECH_BASE_000052,Laptop 0052,ScreenSize,14-inch,Color,Black
288,TECH,TECH_BASE_000052,Laptop 0052,ScreenSize,16-inch,Color,Silver
289,TECH,TECH_BASE_000052,Laptop 0052,ScreenSize,16-inch,Color,Black
290,TECH,TECH_BASE_000053,Wireless Headphones 0053,Color,Red,Connectivity,Bluetooth
291,TECH,TECH_BASE_000053,Wireless Headphones 0053,Color,Red,Connectivity,Bluetooth+Wired
292,TECH,TECH_BASE_000053,Wireless Headphones 0053,Color,Blue,Connectivity,Bluetooth
293,TECH,TECH_BASE_000053,Wireless Headphones 0053,Color,Blue,Connectivity,Bluetooth+Wired
294,TECH,TECH_BASE_000053,Wireless Headphones 0053,Color,Silver,Connectivity,Bluetooth
295,TECH,TECH_BASE_000053,Wireless Headphones 0053,Color,Silver,Connectivity,Bluetooth+Wired
296,TECH,TECH_BASE_000054,Smartwatch 0054,Color,Silver,Band,Silicone
297,TECH,TECH_BASE_000054,Smartwatch 0054,Color,Black,Band,Silicone
298,TECH,TECH_BASE_000054,Smartwatch 0054,Color,Space Gray,Band,Silicone
299,TECH,TECH_BASE_000054,Smartwatch 0054,Color,White,Band,Silicone
300,TECH,TECH_BASE_000055,Smartphone 0055,Color,Black,Storage,64GB
301,TECH,TECH_BASE_000055,Smartphone 0055,Color,Black,Storage,128GB
302,TECH,TECH_BASE_000055,Smartphone 0055,Color,Silver,Storage,64GB
303,TECH,TECH_BASE_000055,Smartphone 0055,Color,Silver,Storage,128GB
304,TECH,TECH_BASE_000055,Smartphone 0055,Color,Space Gray,Storage,64GB
305,TECH,TECH_BASE_000055,Smartphone 0055,Color,Space Gray,Storage,128GB
306,TECH,TECH_BASE_000055,Smartphone 0055,Color,Blue,Storage,64GB
307,TECH,TECH_BASE_000055,Smartphone 0055,Color,Blue,Storage,128GB
308,TECH,TECH_BASE_000056,4K Television 0056,TVSize,55-inch,Color,Black
309,TECH,TECH_BASE_000056,4K Television 0056,TVSize,55-inch,Color,Silver
310,TECH,TECH_BASE_000056,4K Television 0056,TVSize,65-inch,Color,Black
311,TECH,TECH_BASE_000056,4K Television 0056,TVSize,65-inch,Color,Silver
312,TECH,TECH_BASE_000056,4K Television 0056,TVSize,43-inch,Color,Black
313,TECH,TECH_BASE_000056,4K Television 0056,TVSize,43-inch,Color,Silver
314,TECH,TECH_BASE_000056,4K Television 0056,TVSize,50-inch,Color,Black
315,TECH,TECH_BASE_000056,4K Television 0056,TVSize,50-inch,Color,Silver
316,TECH,TECH_BASE_000057,Wireless Headphones 0057,Color,Blue,Connectivity,Bluetooth
317,TECH,TECH_BASE_000057,Wireless Headphones 0057,Color,Blue,Connectivity,Bluetooth+Wired
318,TECH,TECH_BASE_000057,Wireless Headphones 0057,Color,Space Gray,Connectivity,Bluetooth
319,TECH,TECH_BASE_000057,Wireless Headphones 0057,Color,Space Gray,Connectivity,Bluetooth+Wired
320,TECH,TECH_BASE_000058,Smartphone 0058,Color,Red,Storage,128GB
321,TECH,TECH_BASE_000058,Smartphone 0058,Color,Red,Storage,256GB
322,TECH,TECH_BASE_000058,Smartphone 0058,Color,Red,Storage,64GB
